signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.4933,open,0.34,-2.16,08:30,매도주의
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.5001,open,-1.02,-3.52,09:00,중립
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,3.8392,open,1.58,-0.92,05:30,정보부족
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,3.83,open,1.83,-0.67,06:00,매도주의
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,3.86,open,1.04,-1.46,06:30,매수관심
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,3.97,open,-1.76,-4.26,07:00,강한매수
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,4.01,open,-2.74,-5.24,07:30,강한매수
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,3.9999,open,-2.5,-5.0,08:00,중립
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,3.95,open,-1.27,-3.77,08:30,중립
2026-05-27,2026-05-28,VRRM,44.3,강한매도,전저점이탈,-0.3,3.96,open,-1.52,-4.02,09:00,매수관심
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,5.15,open,-4.85,-7.35,05:30,정보부족
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,4.8297,open,1.46,-1.04,06:00,중립
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,4.61,open,6.29,3.79,06:30,매도주의
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,4.78,open,2.51,0.01,07:00,매수관심
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,4.9,open,0.0,-2.5,07:30,매수관심
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,5.23,open,-6.31,-8.81,08:00,매수관심
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,4.7205,open,3.8,1.3,08:30,매도주의
2026-05-28,2026-05-29,MASK,1323.6,강한매수,전고점돌파,24.7,4.92,open,-0.41,-2.91,09:00,강한매수
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.41,open,7.48,4.98,05:30,정보부족
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.45,open,6.52,4.02,06:00,매수관심
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.3572,open,8.79,6.29,06:30,매도주의
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.23,open,12.06,9.56,07:00,중립
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.5005,open,5.32,2.82,07:30,중립
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.7202,open,0.42,-2.08,08:00,중립
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.41,open,7.48,4.98,08:30,매도주의
2026-05-28,2026-05-29,PRFX,211.6,중립,완만한상승,221.9,4.59,open,3.27,0.77,09:00,강한매수
2026-05-28,2026-05-29,ATPC,182.3,중립,전고점돌파,-0.1,6.065,open,-7.17,-9.67,05:30,정보부족
2026-05-28,2026-05-29,ATPC,182.3,중립,전고점돌파,-0.1,5.82,open,-3.26,-5.76,06:00,중립
2026-05-28,2026-05-29,ATPC,182.3,중립,전고점돌파,-0.1,5.94,open,-5.22,-7.72,06:30,매수관심
2026-05-28,2026-05-29,ATPC,182.3,중립,전고점돌파,-0.1,5.84,open,-3.6,-6.1,07:00,매도주의
